1	How many Native American reservations currently exist in the U.S.? A) 326, B) 887, C) 164, D) 516		4	A) 326
2	In Montgomery, AL, Rosa Parks refused to give up her seat on a bus to a white passenger on what date that has become known as Rosa Parks Day?		2	December 1, 1955
3	The Greensboro sit-ins were a series of non-violent protests in NC in 1960 which led what chain department store to revoke its policy of segregation?		4	Woolworth's
4	What John Waters musical based in 1960's Baltimore follows a teenager who rallies against racial segregation?		5	Hairspray
5	During what war were Japanese Americans forced into relocation and incarceration?		2	World War II
6	After WWII started in 1939, Jews were ordered to wear what on their clothes so they could be recognized?		2	Yellow Star of David
7	Concentration camps were meant to work and starve prisoners to death. Extermination or death camps were made for mass killing. Name the 6 Nazi extermination camps for 1 point each.		2	Chelmno, Belzec, Sobibor, Treblinka, Auschwitz, Majdanac
8	"Don't ask, don't tell", the former official US policy on gays in the Military was instituted by what administration?		2	The Clinton Administration
9	This U.S. state was the first to legalize same-sex marriage. It was also the sixth jurisdiction to do so worldwide.		2	Massachusetts
10	Current KKK Grand Master Wizard Will Quigg endorses which presidential candidate?		8	Donald Trump (officially) or Hillary Clinton (via contribution)
11	On Sept 20th 2011, this policy banning openly gay, lesbian, or bisexual members of the US Armed Forces was repealed.		2	Don’t ask, don’t tell
12	Barrack Obama has declared June Pride Month every year for the past 8 years, who was the first president to declare June Pride month (bonus point for the year)?		2	Bill Clinton, 2000
13	From 1977-1981, Billy Crystal played one of the first openly gay characters in a recurring role on this primetime television show.		5	Soap
14	Name the American politician and activist who in 1978, became the first openly gay person to be elected to public office in California. He was played by Sean Penn in a 2008 biography that earned two Academy Awards.		2	Harvey Milk
15	This British mathematician and cryptographer is considered the father of computer science. After being prosecuted for his sexual orientation, he eventually took his own life in 1954. He was officially pardoned by Queen Elizabeth II in August 2014.		1	Alan Turing
16	The month of June was chosen for pride month to commemorate what event that took place in June 1969?		2	The Stonewall Riots
17	The first gay pride flag was created and raised by Gilbert Baker at San Fransisco Pride in 1978. How many colors did the original flag have? Extra point if you can name a color that has been removed from the current flag.		2	8, hot pink, turquoise, and indigo removed
18	In February 2004, Jane Fonda helped produce the first all-transgender performance of this play, written by Eve Ensler.		5	The Vagina Monologues
19	What are the current names of the sibling American directors who are both openly transgender women. Their works include the Matrix trilogy, V for Vendetta, and Cloud Atlas.		5	Lana and Lilly Wachowski
20	This bisexual man was one of the most famous civil rights activists of the ’60’s. For over half a century The Nation of Islam and many black nationalists have suppressed knowledge of his sexual orientation to serve their homophobic agenda.		2	Malcom X
21	This generous comedian is the voice of Finding Nemo’s “Dory”.		4	Ellen DeGeneres
22	This actor gave the title characters in Harold & Kumar a ride. He is tripping his balls off and sees a unicorn and admits his balls get wet whenever he thinks of Tashonda’s hershey kiss nipples.		4	Neil Patrick Harris
23	In a 2007 movie, this actress gets knocked up in a chair. She changes her mind about abortion after learning that her baby has finger nails.		5	Ellen Page
24	This 73 yr old billionaire is the founder of Dreamworks SKG, Asylum Records, Geffen Records, and DGC Records.		4	David Geffen
25	This glam rocker got in a fight as a teen that resulted in one of his pupils being permanently dilated.		4	David Bowie
26	Harris Glen Milstead shocked moviegoers when he ate dog shit in a John Waters flick. He was also known for his role in Hairspray, what name did he go by?		4	Divine
27	This comedian & actress is known for her roles in The 40 yr. Old Virgin, Role Models, & Glee, as well as being a voice actress in Rio & Wreck it Ralph.		5	Jane Lynch
28	This lovely queen of drag came to fame with her hit song Supermodel (You Better Work) in 1993.		4	RuPaul
29	2 words: Gandalf, Magneto		4	Ian McKellen
30	According to the song by Hedwig & the Angry Inch what was 6 inches forward & 5 inches back?		4	An Angry Inch
31	Pride and Prejudice and Zombies is a 2009 parody novel that added zombie and ninja elements to the Jane Austen classic. Name the parody author who added the estimated 15% of new content to the original.		5	Seth Grahame-Smith
32	Name the spin-off history-horror mashup written by the same author. While the book was written after Pride and Prejudice and Zombies, the movie adaptation was made first.		5	Abraham Lincoln - Vampire Hunter
33	Name the other Jane Austen novel that was combined with a horror theme (this
time sea monsters).		5	Sense and Sensibility
34	Name the major character, proprietor of Pemberley estate, that was transformed from an aloof romantic hero into a monster-hunter in the remake.		5	Fitzwilliam Darcy
35	The Regency-era fashion and Inner Zombie Slayer style of Pride and Prejudice and Zombies inspired a clothing line by this retailer.		4	Hot Topic
36	An iOS video game version of the book Pride and Prejudice and Zombies was released in June of what year?		4	2010
37	The graphic novel adaptation of PP&Z was written by this acclaimed author and screenwriter. He is known for his work on series such as X-Men Unlimited, Dr. Who, Starship Troopers and Spiderman.		5	Tony Lee
38	This actress was originally slated to both star as Elizabeth Bennet and produce the 2016 film adaptation. She later quit the role though she still helped produced the film.		4	Natalie Portman
39	The film version attempted to maintain authenticity by featuring a mostly British cast, including this actress of Game of Thrones fame.		4	Lena Headey
40	Publisher Quirk Books attempted to capitalize on the success of PP&Z by releasing how many direct continuations?		5	2, PP&Z - Dawn of the Dreadfuls, PP&Z - Dreadfully Ever After
42	Manson and his followers committed a series of murders at 4 locations over a 5week period during the Summer of '69. How many murders did they commit?		4	9
43	What prison currently houses Charles Manson?		4	Corcoran State Prison
44	During legal proceedings, a young lawyer chose to represent Manson and Leslie VanHouten but dropped Manson in favor of VanHouten. He went missing in 1970 during a camping trip. His remains were later found in the woods and it is believed he was murdered by remaining Manson Family members. What was the lawyer's name?		4	Ronald Hughes
45	On June 16, 1970, Manson went on trial with 3 female followers: Leslie VanHouten, Patricia Krenwinkle, and who else?		4	Susan Atkins
46	Who is the only family member to be convicted of murder and released on parole in 1985?		4	Steve Grogan
47	This ranch was an old movie set where Manson and his followers last lived. It was the set of Bonanza, The Lone Ranger, and Zorro.		4	Spahn Ranch
48	What were the names of the LaBianca couple who were murdered by the Manson Family on August 10, 1969?		2	Rosemary & Leno
49	What words were written in blood in the Tate home?		2	Pig, Helter Skelter, Rise, Death to Pigs
